k1,k2,k3,k4,k5,k6,cost
0.0971406,0.1,0.955403,0.501603,0.409134,0.183195,2.38956
0.096155,0.1,0.954719,0.181909,0.0052136,0.182758,1.24001
0.0933321,0.1,0.955404,0.310234,0.170948,0.182712,1.85459
0.0941353,0.1,0.954916,0.27334,0.134406,0.182703,1.72839
0.0941772,0.1,0.954649,0.22789,0.0720425,0.182551,1.50803
0.0998152,0.1,0.955764,0.456414,0.318784,0.1833,2.26716
0.0954714,0.1,0.956419,0.193242,0.0113211,0.183601,1.27001
0.0959837,0.1,0.954934,0.356686,0.198236,0.182575,1.98456
0.0947158,0.1,0.956289,0.19047,0.00801027,0.183426,1.25582
0.0941971,0.1,0.954912,0.326933,0.191139,0.182706,1.91233
0.0926576,0.1,0.954945,0.210102,0.0495624,0.182624,1.42361
0.0952769,0.1,0.95489,0.439813,0.334019,0.182648,2.24769
0.094029,0.1,0.956797,0.290889,0.140612,0.183478,1.76743
0.0971512,0.1,0.957311,0.233542,0.0588849,0.184101,1.48016
0.0921327,0.1,0.956403,0.190534,0.0143909,0.183158,1.28978
0.0935546,0.1,0.955769,0.258411,0.105983,0.18318,1.64032
0.0985557,0.1,0.954367,0.205482,0.0318502,0.18259,1.35903
0.094425,0.1,0.952164,0.234451,0.0761756,0.181265,1.5418
0.0980684,0.1,0.954553,0.349404,0.22206,0.182649,1.99476
0.097402,0.1,0.954662,0.255281,0.0995311,0.182736,1.61619
0.0968749,0.1,0.955356,0.227408,0.0584347,0.183053,1.46382
0.101286,0.1,0.956544,0.251336,0.0979189,0.183986,1.62502
0.0982657,0.1,0.953135,0.24252,0.079105,0.182169,1.55609
0.095196,0.1,0.955846,0.559865,0.464463,0.182955,2.48634