pCD3z(),pSLP76(),pErk(),pS6()0.61,30.64,0.12,0.21
1.76,1.69,2.32,2.52
6.29,32.87,2.79,0.23
12.43,76.98,0.13,0.84
3.89,22.26,2.24,0.95
3.94,36.11,1.35,0.86
3.46,75.7,4.57,0.3
15.11,68.55,0.74,0.45
0.61,25.94,0.72,0.53
1.29,22.19,2.1,1.17
7.82,20.94,1.49,0.06
0.38,18.66,0.38,0.59
8.62,27.04,0.58,0.86
5.05,174.11,0.82,0.34
8.92,46.45,0.95,2.27
8.11,45.71,4.19,0.5
7.39,39.99,-0,0.8
5.53,48.5,3.79,1.24
31.58,55.59,1.17,0.12
12.09,41.94,3.14,0.53
10.9,42.26,1.07,0.52
3.93,62.32,4.35,0.69
23.12,28.34,2,0.06
8.99,25.24,0.8,-0
15.9,61.45,0.13,0.24
24.39,63.24,0.57,-0
2.18,24.39,1.04,-0
28.81,95.52,8.3,2.57
3.97,42.92,0.82,0.24
6.94,52.27,0.76,0.28
4.95,35.61,2.21,0.33
12.63,22.59,0.09,0.88
24.86,87.65,2.15,0.87
7.23,32.43,0.33,0.48
4.47,26.64,9.66,0.55
1.91,49.79,10.28,0.38
23.72,98.31,4.62,1.61
3.26,54.61,0.99,4.86
3.18,47.06,0.65,46.46
12.68,48.34,0.85,0.1
2.34,26.67,8.39,1.28
13.13,119.06,7.56,6.09
19.45,86.92,1.18,0.34
13.47,52.19,1.24,2.15
9.5,77.59,0.15,4.77
14.04,37.99,2.45,0.43
1.64,37.42,1.65,0.22
6.54,31.08,5.7,1.64
6.89,35.94,0.65,0.33
51.03,259.67,0.98,4.54
1.04,22.16,3.35,0.78
8.18,37.65,0.25,0.62
11.6,48.43,5.55,0.62
2.43,74.05,3.18,6.42
8.37,50.57,1.18,0.76
1.38,105.95,1.76,0.24
21.92,29.05,1.73,0.56
7.25,52.41,2.52,0.67
23.82,84.34,5.16,0.35
6.36,169.67,1.87,0.13
13.44,30.81,7,0.35
10.44,56.58,0.09,0.47
5.88,151.85,0.45,1.38
5.61,66.47,2.78,0.49
13.62,30.66,1.69,0.72
6.98,140.01,1.46,0.18
8.48,122.12,2.77,0.43
2.99,40.22,10.25,2.27
5.7,27.46,1.73,0.98
4.7,19.28,1.29,0.7
7.39,38.05,5.16,0.48
5.58,38.36,0.58,-0
3.48,42.87,0.53,0.68
7.27,22.69,1.2,0.42
2.45,52.05,0.45,0.71
10.67,45.55,2.11,0.35
3.45,81.53,0.71,4.7
9.91,76.24,3.48,0.04
6.18,87.62,1,1.58
3.89,51.54,5.32,0.78
18.34,67.88,7.92,0.68
2.89,34.26,2.25,1.59
9.29,46.59,4.12,1.53
6.28,45.83,2.4,0.04
16.62,33.49,0.59,0.02
4.4,55.05,9.72,0.14
1.95,57.52,3.77,0.08
9.97,79.42,1.26,0.16
9.34,143.29,2.21,0.62
17.92,47.92,6,0.17
7,30.83,0.48,0.36
14.42,78.19,0.99,15.04
2.56,65.94,3.59,0.79
6.78,63.41,1.27,0.78
16.1,50.23,7.05,1.72
8.87,35.8,0.09,0.03
6.58,86.36,3.26,2.52
9.45,57,6.97,0.21
0.75,89.38,0.44,0.21
3.82,74.23,3.76,0.05
5.54,43.13,5.24,1.6
6.36,90.25,0.65,2.98
16.12,25.34,4.16,0.23
3.33,41,3.87,-0
17.41,42.15,3.3,2.04
7.85,58.92,1.67,1.74
5.75,37.2,5.45,0.48
7.81,33.15,1.03,0.03
3.01,71.81,1.43,0.85
8.36,37.48,4.35,0.65
32.66,88.92,0.41,0.5
20.1,46.59,3.89,0.27
18.65,57.49,0.18,0.84
17.06,67.84,2.29,0.21
9.89,46.76,5.5,0.46
1.36,116.75,0.19,1.18
13.63,64.13,2.5,0.4
9.67,45.59,1.29,0.34
9.67,40.78,5.72,1.4
7.75,47.55,1.52,0.79
4.62,52.86,6.13,0.73
4.61,72.1,3.41,0.77
8.38,174.81,0.49,0.4
10.1,53.32,0.87,1.35
1.11,32.11,0.12,-0
23.95,121.02,0.84,0.1
18.33,63.91,1.42,-0
3.81,15.16,0.24,0.54
0.59,43.96,1.83,1.34
3.52,114.43,2.28,0.67
10.73,129.75,2.6,0.06
2.06,78.76,4.94,0.74
23.35,53.08,3.7,0.3
12.33,60.08,0.58,0.03
12.55,74.55,3.23,1.79
1.98,53.72,3.6,0.81
15.24,115.84,1.28,0.43
7.81,47.69,1.8,2.23
12.95,155.49,2.25,0.21
18.24,41.53,4.56,0.51
16.41,41.85,4.82,0.82
14.16,204.63,0.2,0.62
3.87,34.63,4.78,1.98
8.24,47.75,0.36,0.84
4.95,36.97,4.33,0.53
1.62,26.81,3.18,45.98
20.37,38.68,3.03,0.03
2.94,31.88,8.5,0.01
11.74,83.4,1.81,0.74
8.89,31.15,3.33,1.16
3.01,25.66,4.4,0.88
3.86,71.13,1.51,0.04
8.94,67.39,0.88,0.26
9.7,70.15,4.35,0.36
8.14,36.74,1.92,1.55
3.32,30.5,4.62,0.43
7.65,85.06,2.27,0.29
8.74,56.46,1.37,0.41
17.15,52.24,6.74,0.23
13.09,48.72,1.51,0.15
10.47,72.86,2.32,0.32
21.9,44.59,0.62,0.74
9.57,70.78,0.39,0.72
23.36,87.84,0.16,2.07
6.07,52.24,8.86,0.06
0.13,32.27,0.62,0.33
14.36,62.01,7.34,2.67
14.61,37.57,2.96,1.33
6.27,73.82,0.42,0.92
21.8,31.85,5.47,0.07
4.37,45.95,0.84,0.29
8.3,84.9,0.56,0.88
2.97,37.96,4.62,0.25
0.93,59,1.16,0.39
2.95,28.66,1.37,0.51
11.28,77.4,6.98,0.32
17.12,78.82,1.49,-0
1.69,43.5,1.66,1.11
0.96,20.08,0.62,0.05
29.39,187.51,4.43,1.66
11.19,38.03,0.67,-0
6.89,34.35,0.79,0.62
4.27,87.38,0.73,0.17
3.58,43.93,3.68,0.55
8.73,111.9,3.36,0.23
13.75,61.87,1.83,0.9
6.51,40.54,0.51,0.38
2.54,41.9,0.85,0.27
7.45,22.89,1.68,2.3
21.2,55.73,7.08,0.69
12.71,90.69,4.64,1.36
3.83,38.59,5.53,0.64
4.65,97.58,4.86,0.65
9.41,124.34,3.59,0.92
18.08,71.79,0.48,4.35
6.56,55.13,1.87,0.87
6.28,39.8,2.9,0.14
7.21,61.78,0.15,0.06
20.99,68.66,1.97,0.78
7.26,34.93,4.29,6.13
8.78,38.81,0.31,0.27
11.7,77.82,1.58,0.95
3.61,38.03,2.14,0.2
8.56,53.82,0.4,0.04
8.44,21.18,0.33,0.98
20.45,9.44,4.08,0.72
5.13,54.75,2.44,2.27
12.66,29.01,2.11,1.45
16.83,32.47,2.06,0.89
12.03,18.77,16.86,42.31
4.4,54.92,4.19,1.5
4.27,71.12,1.13,0.08
4.05,65.36,0.1,1.87
6.17,45.86,5.79,0.83
11.5,59.57,3.65,2.03
18.24,134.99,0.51,0.52
10.24,46.81,2.59,0.86
6.16,60.84,3.67,0.69
17.87,38.67,0.71,1.29
8.96,37.76,2.79,0.03
16.13,36.88,8.62,1.79
12.14,75.58,17.2,0.4
1.11,48.04,191.21,0.51
22.52,41.85,2.58,0.55
14.77,39.37,5.67,0.42
11.63,75.47,1.91,0.05
16.34,68.71,2.82,7.24
2.93,27.12,2.9,1.97
1.97,69.48,0.01,0.42
4.25,79.15,0.27,3.11
10.5,64.69,6.51,184.88
14.42,49.62,1.25,2.8
28.57,40.72,5.98,0.32
0.44,14.53,0.98,0.4
9.91,24.24,14.77,0.15
2.07,2.34,1.65,2.71
16.88,40.29,1.57,0.72
6,82.89,10.11,2.59
9.4,83.17,3.82,3.45
10.4,80.12,6.01,0.86
15.19,5.37,3.43,0.89
4.68,95.25,4.8,0.08
12.7,71.6,2,6.47
3.43,41.34,0.32,0.18
3.31,84.63,0.08,0.36
7.3,32.75,3.05,0.88
7.83,110.85,3.66,0.71
25,74.99,1.02,3.46
8.22,79.77,3.13,1.27
3.44,81.26,7.25,0.35
5.01,74.75,2.92,0.31
5.79,73.56,2.56,0.49
5.31,24.38,1.19,0.94
5.86,84.91,0.47,0.16
3.17,117.68,6,0.98
19.77,51.51,7.3,0.89
4.55,53.19,0.36,0.28
5.76,41.7,9.3,0.66
4.91,40.76,4.11,10.3
7.19,33.62,3.28,0.67
15.14,76.96,0.31,0.96
15.49,50.05,1.65,0.71
2.52,38.3,0.27,1.02
7.69,38.14,0.59,0.07
32.75,33.36,0.7,0.42
21.8,54.56,1.28,1.3
6.48,56.58,7.38,0.22
10.85,54.46,4.83,1.89
6.49,81.37,8.69,0.5
5.12,36.57,1.05,0.72
22,50.82,2.68,1.8
0.47,44.18,0.64,0.07
18.42,66.78,0.85,0.67
11.53,47.94,10.86,0.69
19.3,40.43,0.82,0.5
4.39,97.44,1.48,0.15
9.37,99.57,4.43,1.14
26.04,26.18,1.47,0.69
5.85,13.72,1.26,0.89
10.9,18.07,23.11,11.01
20.93,120.28,2.2,0.48
3.25,95.01,4.81,0.15
5.95,33.13,4.97,0.23
10.84,36.3,0.01,0.48
4.03,43.03,1.54,0.03
17.39,94.41,2.73,0.39
24.16,51.83,3.52,1.27
15.12,35.03,0.77,0.88
8.63,57.1,2.75,0.43
5.07,73.56,0.64,1.65
7.85,24.14,5.66,0.22
7.9,75.53,2.69,0.47
18.01,80.24,0.05,0.16
12.67,89.98,1.26,0.44
2.59,56.63,0.42,0.48
31.22,54.04,7.08,1.97
13.71,34.76,1.89,0.91
6.59,49.41,0.14,0.46
3.97,59.6,0.13,0.37
17.6,67.02,1.38,0.92
4.49,33.05,0.13,0.26
27.08,40.29,2.89,0.61
5.41,58.77,1.5,0.54
18.5,40.84,4.35,1.74
2.69,54.68,2.21,0.78
9.87,76.84,3.59,0.82
6.33,50.23,2.95,0.87
0.56,32.96,1.24,0.34
10.87,22.07,2.51,0.08
8.72,56.03,2.37,0.77
9.09,50.98,8.25,0.58
5.8,58.55,2.7,0.88
2.68,25.31,2.59,1.28
20.08,31.37,13.24,0.72
2.91,38.32,7.95,0.87
1.29,29.59,2.06,1.79
34.69,48.06,1.59,0.65
14.09,31.67,0.54,1.26
6.11,61.91,1.74,0.09
3.38,57.94,0.52,1.38
5.6,6.5,9.59,0.59
4.11,36.89,1.14,0.73
17.5,20.63,2.03,0.74
10.64,47.35,38.59,4.68
21.6,46.53,0.3,0.06
3.53,37.86,1.67,2.18
7.75,73.33,2.59,0.37
8.15,66.92,3.27,0.93
6.91,49.02,2.6,4.47
34.08,49.31,0.31,0.2
7.42,65.26,2.98,0.82
7.3,54.87,0.79,8.75
1.2,44.5,0.16,0.37
19.34,157.96,3.92,0.22
20.55,20.17,0.46,0.48
2.31,31.95,0.36,0.27
8.28,77.03,4.42,0.07
15.46,148.81,0.59,0.04
9.54,57.55,2.59,0.24
11.62,123.63,6.38,0.05
1.64,46.13,9.21,-0
1.31,13.58,1.5,0.2
28.98,43.63,0.76,1.62
9.24,25.75,3.33,-0
8.43,9.14,2.34,0.4
13.78,64.62,1.45,0.8
1.22,34.95,0.32,1.94
6.98,73.82,1.36,1.2
10.86,75.53,1.06,0.78
0.36,54.09,7.77,0.22
1.57,90.06,1.03,0.64
13.03,69.96,0.57,0.72
9.53,83.23,3.02,0.36
7.83,23.31,0.2,0.12
3.84,51.97,3.56,0.79
5.8,50.05,7.33,0.64
5.17,72.07,0.48,-0
12.04,53.35,0.53,0.9
9.24,78.45,4.64,0.02
29.95,81.17,0.19,0.53
3.85,34.82,2.82,27.05
7.01,48.59,0.73,0.54
1.88,31.92,0.23,0.39
5.92,54.54,1.59,0.08
0.42,45.99,0.52,-0
21.31,25.55,10.26,0.42
16.85,62.27,0.49,1.53
11.77,50.07,1.08,0.63
1.66,51.89,11.76,1.2
8.08,28.1,4.51,0.4
9.62,33.02,1.17,0.1
24.98,41.8,3.66,1.1
0.65,78.11,2.49,3.23
24.91,65.87,0.16,2.71
11.9,29.24,6.62,0.14
6.49,20.04,0.71,0.89
5.49,21.15,5.97,0.88
17.82,71.34,7.85,0.25
13.16,35.1,0.45,0.03
12.36,42.48,0.13,0.04
17.35,72.16,3.75,0.26
12.12,50.96,9.13,0.71
9.46,29.04,3.72,1.39
24.11,51.02,4.44,0.48
4.44,49.68,0.44,0.86
1.5,77.92,0.38,0.4
15.13,63.07,3.46,0.42
2.7,45.85,7.93,1.62
4.62,56.97,0.45,0.88
19.55,48.89,0.18,0.3
12.02,53.34,6.49,0.46
1.43,57.89,0.18,1.17
4.7,13.63,23.72,0.68
23.4,76.95,9.27,4.44
8.05,36.83,7.14,1.42
8.28,42.03,0.47,0.6
11.4,86.48,7.15,1.76
49.14,206.81,1.64,1.64
7.97,47.67,4.53,8.08
11.49,66.99,0.46,0.42
7.46,104.39,3.35,0.69
11.94,99.81,3.92,1.86
29.21,39.58,4.76,0.72
20.61,61.17,1.1,1.06
11.64,27.66,3.28,0.14
14.86,56.55,2.03,0.04
8.1,60.05,5.72,0.45
1.44,14.31,2.41,0.75
8.8,35.07,0.02,12.47
7.57,114.4,2.17,0.39
9.9,62.61,1.43,0.66
21.7,70.41,0.82,0.4
19.6,49.47,1.65,0.78
4.38,81.62,5.98,1.03
9.17,47.45,2.22,2.76
3.57,74.53,0.98,0.6
6.98,51.85,5.09,72.57
15.38,66.59,2.96,0.36
7.77,83.38,0.85,1.88
20.35,113.93,3.07,0.35
13.62,32.44,3.62,0.33
6.09,59.51,7.68,0.08
25.95,59.14,1.18,0.12
4,34.46,1.66,1.91
2.82,54.2,0.62,0.05
0.56,27.93,1.1,0.55
18.07,36.58,0.58,0.88
15.09,80.65,0.81,8.85
16.84,54.11,3.75,0.71
3.53,41.89,0.7,0.51
10.38,88.85,2.61,0.55
11.65,208.73,3.63,-0
3.42,205.23,1.96,0.24
3.91,6.37,0.64,3.69
10.54,54.95,8.15,0.76
7.62,53.95,14.62,2.73
9.52,95.96,1.36,1.15
3.86,39.29,2.2,0.07
8.95,22.17,0.53,0.63
16.21,36.4,6.48,0.22
19.62,53.47,1.11,2.76
7.33,35.97,1.59,0.73
2.55,11.94,-0,1.26
4.14,28.8,6.26,0.42
6.27,47.6,0.21,0.54
8.58,102.37,1.19,0.22
22.03,102.83,3,1.81
3.25,65.75,3.25,1.13
4.21,31.29,0.27,1.35
1.49,82.34,2.86,1.7
10.56,44.72,0.79,0.74
5.07,18.05,7.09,0.79
0.41,41.65,1.73,0.32
7.4,86.88,0.04,1.19
15.4,57.6,0.51,0.85
4.13,62.16,1.58,0.95
1.16,62.51,0.68,0.83
25.48,77.75,2.22,0.9
8.18,123.04,1.56,0.01
18.27,35,1.23,2.38
1.27,150.6,1.34,0.02
8.56,67.19,0.34,0.93
11.02,35.16,2.52,0.3
19.04,44.6,0.58,0.52
4.59,87.73,0.17,0.39
8.57,48.75,3.56,0.24
4,40.01,3.1,0.37
7.79,43.52,4.73,0.51
3.93,27.54,3.8,1.52
13.84,58.7,1.88,0.36
10.32,62.81,0.87,13.81
20.7,36.39,8.18,1.52
6.43,63.47,0.05,1.85
11.71,68.79,1.48,0.14
9.93,52.18,3.01,0.07
24.83,116.63,2.19,1.83
13.55,71.79,2.09,0.59
0.4,46.11,0.84,0.9
15.81,137.3,0.82,0.54
7.58,16.1,0.14,0.51
19.72,38.53,0.28,0.06
7.79,58.99,1.54,0.9
1.26,90.92,2.09,0.59
15.47,36.92,9.15,0.26
6.84,61.02,6.38,1.5
0.28,81.58,-0,0.7
9.05,75.49,4.45,1.83
3.33,48.8,0.16,0.6
0.36,48.48,3.19,0.82
5.4,36.18,2.52,0.85
0.33,74.66,0.89,0.19
0.76,26.66,1.51,1.24
14.43,43.72,2.61,0.71
6.13,24.05,6.86,4.29
7.5,49.21,3.59,0.39
10.86,115.02,8.23,0.68
14.33,33.66,2.1,0.74
8.08,21.22,0.63,0.55
4.07,62.69,2.78,0.56
24.43,30.7,22.97,0.2
19.03,71.23,-0,0.18
4.79,15.82,4.21,0.19
29.58,61.44,3.51,0.57
21.01,77.01,-0,0.74
2.89,34.2,1.57,0.37
5.57,116.56,-0,0.66
6.68,27.54,2.77,1.37
8.9,77.45,1.72,0.37
6.82,35.46,0.99,0.16
5.56,48.14,4.97,1.76
3.82,58.46,3.96,0.01
2.61,38.4,0.86,0.11
6.33,95.16,0.26,-0
8.37,145.86,4.37,0.72
17.81,88.11,1.56,0.41
5.2,21.09,0.72,0.62
21.98,27.81,0.68,0.57
3.98,59.79,1.9,1.26
7.48,32.48,2.65,0.9
19.93,66.06,1.08,0.91
11.53,47.27,1.15,1.16
9.69,36.82,2.3,0.54
5.95,44.2,0.68,0.14
23.76,177.46,0.08,0.86
9.56,43.03,3.45,0.36
2.83,47.45,0.55,0.36
7.02,47.55,1.31,2.78
7.21,83.02,0.92,0.43
16.17,22.01,1.78,0.38
13.39,42.87,1.12,-0
21.25,93.34,0.5,0.06
2.56,37.99,0.4,0.29
5.33,43.66,5.94,0.61
23.76,47.27,4.05,0.57
19.67,38.87,6.67,0.3
17.97,133.3,1.55,0.56
4.54,92.6,0.7,0.5
20.1,37.46,1.24,6.33
15.96,75.97,4.51,1.74
9.74,68.86,11.76,0.75
1.18,42.3,0.61,0.63
16.63,94.36,5.35,0.5
8.55,48.57,0.72,0.84
10.7,26.07,3.88,0.05
0.37,9.95,309.32,1.88
3.48,134.15,2.69,0.26
10.88,52.46,3.78,0.51
36.83,40.86,2.73,0.53
9.78,45.84,0.17,1.76
15.07,32.84,0.72,0.79
9.16,38.33,2.88,0.84
35.3,114.54,5.99,0.94
23.14,56.22,6.01,0.61
3.76,36.09,8.48,0.54
14.04,38.74,1.96,0.31
5.25,82.93,1.2,0.4
17.93,25.92,6.99,0.16
14.73,8.23,3.18,2.34
7.69,71.7,1.81,0.27
0.45,29.69,0.4,0.15
10.89,136.25,1.27,0.93
9.05,56.21,0.6,0.67
2.9,29.58,2.38,0.65
10.32,58.72,7.95,10.16
4.07,57.05,2.49,8.4
5.85,24.44,0.59,0.96
7.84,72.04,0.29,0.96
5.62,61.8,2.52,0.56
44.57,44.51,5.18,0.42
12.86,53.03,3.33,0.86
4.24,64.64,1.38,1.57
3.48,74.4,0.24,6.75
8.38,118.1,3.02,0.86
9.97,50.66,5.43,0.87
8.97,53.8,2.48,1.68
13.28,46.68,0.55,0.05
5.95,78.06,0.49,0.76
12.28,75.61,2.68,0.4
2.97,42.03,13.51,0.83
8.74,21.57,3.5,0.84
2.41,30.7,0.22,0.87
26.16,69.21,0.36,0.41
14.95,51.52,1.91,1.1
9.4,48.21,0.02,1.06
10.73,39.04,3.06,0.43
4.34,75.01,1.13,0.61
17.46,46.05,21.06,3.75
16.64,28.08,3.79,0.7
5.86,76.2,1.08,0.57
4.55,63.7,4.07,0.19
16.2,83.95,2.98,15.81
12.62,34.96,0.05,0.67
3.49,33.15,5.2,0.29
3.94,63.45,1.63,0.12
3.89,29.46,0.57,0.15
5.86,71.6,1.03,2.13
18.43,73.59,3.06,0.22
7.42,193.84,6.99,0.63
11.57,32.53,2.62,0.04
27.52,165.92,0.98,0.91
9.66,17.2,0.93,0.23
8.8,69.95,3.47,1.88
17.09,67.77,3.49,1.84
4.4,70.55,2.48,0.77
9.17,64.82,2.3,0.91
8.22,23.17,7.41,0.9
8.59,33.09,0.01,0.94
38.43,59.03,2.81,0.52
14.88,29.51,143.76,0.64
4.36,38.27,1.13,3.88
9.73,46.99,17.1,0.93
14.07,79.73,1.62,0.75
5.82,73.86,3.02,0.99
9.22,38.53,0.89,1.74
17.78,65.69,4.41,0.61
2.3,48.16,0.35,1.21
3.33,69.88,1.63,0.46
8.52,126.56,9.19,0.53
4.71,69.23,1.67,6.21
3.92,33.48,2.98,0.84
14.02,62.84,1.52,0.79
12.8,71.3,5.54,0.57
2.04,91.73,5.34,0.81
3.25,64.26,1.77,0.55
13.02,44.19,1.77,0.35
4.86,70.74,5.97,0.79
16.99,58.48,5.33,1.03
14.32,151.29,2.61,0.82
25.8,54.86,2.08,0.72
11.25,61.86,3.82,0.75
5.39,38.24,2.73,0.71
10.67,15.97,7.66,0.62
2.71,44.26,5.65,0.33
2.83,55.49,0.46,3.88
10.85,65.16,5.36,0.08
9.84,14.88,2.41,2.23
14.95,53.49,1.57,0.54
13.16,49.49,2.32,0.37
0.99,2.84,4.38,4.57
5.15,37.58,8.77,0.05
12.28,40.44,0.24,0.77
2.59,78.35,1.39,0.76
5.99,94.76,0.75,0.07
13.68,40.65,1.88,0.82
17.41,84.58,1.3,1.32
7.99,27.28,0.56,0.28
2.78,22.76,0.6,0.33
17.7,88.7,2.96,0.74
7.5,26.09,0.34,0.1
12.39,126.42,1.09,0.47
17.76,42.99,0.83,0.7
4.85,23.11,2.4,3.5
4.72,53.13,1.33,0.7
8.85,40.72,6.89,0.41
11.95,59.4,3.75,1.58
20.18,52.35,5.79,0.92
24.14,41.38,1.54,1.15
2.06,54.51,1.22,1.84
5.27,45.87,1.81,0.55
2.74,28.23,1.86,0.41
7.44,44.27,15.4,0.1
15.6,53.53,3.25,0.3
1.73,47.53,0.88,0.82
14.02,51.25,8.1,0.7
19.36,93.63,7.46,1.08
5.64,51.72,1.64,0.81
7.8,24.8,0.8,-0
3.8,54.77,0.54,0.72
10.75,50.36,2.7,0.12
7.92,56.65,2,0.76
0.79,115.15,1.4,0.41
3.91,24.49,0.8,0.37
8.71,64.96,4.41,0.18
5.74,73.31,0.93,0.78
14.59,28.95,1.27,0.97
9.39,59.69,4.35,-0
4.57,37.45,3.59,2.62
4.91,62.7,11.58,0.75
10.89,71.5,0.98,0.41
11.48,23.52,2.27,0.83
7.76,77.45,3.23,0.01
7.39,49.74,0.92,1.79
5.06,28.85,0.98,1.22
1.09,41.19,6.1,-0
11.14,65.67,10.8,-0
9.58,50.11,1.01,0.52
14.73,49.89,1.26,0.8
12.6,31.7,2.47,0.17
2.2,29.71,1.7,0.53
26.55,44.22,12.43,1.65
7.65,18.81,3.01,0.79
8.59,33.46,7.01,0.22
6.21,37.2,2.88,0.69
5.04,7.81,1.25,0.49
13.5,23.27,1.58,1.52
0.23,14.59,0.07,0.25
15.81,52.4,1.61,1.21
0.21,91.53,5.24,0.22
10.14,54.54,18.55,1.8
34.29,79.92,1.58,0.6
40.1,33.19,3.26,0.79
22.87,84.98,2.05,17.2
13.14,75.09,27.74,0.1
3.15,46.87,5.45,0.17
6.66,60.76,14.24,0.73
8.71,23.97,3.35,0.01
15.96,45.86,6.11,0.62
6.41,30.21,2.73,0.48
2.86,22.6,5.35,0.59
7.01,30.74,0.2,0.76
14.52,68.16,3,6.96
10.85,84.87,4.56,0.84
7.31,27.88,13.38,0.53
12.44,72.62,0.39,0.26
18.58,58.98,20.8,0.83
10.65,59.6,3.19,0.17
10.04,90.99,3.12,0.21
8.98,27.87,3.82,1.27
7.86,30.59,3.01,0.61
6.5,39.41,4.43,0.55
25.92,128.06,1.66,2.38
16.07,53.81,1.84,1.45
11.12,33.69,0.03,0.87
8.11,46.36,2.27,0.76
6.54,30.75,0.8,0.58
6.35,148.44,4.99,0.62
1.14,38.99,5.09,0.21
2.13,16.01,0.9,0.57
9.72,74.51,8.44,5.64
1.14,44.01,0.99,0.64
11.33,12.69,7.95,0.63
17.78,63.7,5.67,0.03
5.05,68.86,3.7,-0
3.9,89.98,33.79,0.3
4.65,47.56,0.9,0.19
9.92,52.9,1.18,0.78
1.25,69.4,1.07,0.17
15.32,58.78,2.92,0.44
6.33,45.78,3.18,0.74
3.92,81.53,1.28,2.48
4.3,68.53,0.06,0.18
27.81,28.1,2.65,0.31
8.49,75.96,6.18,0.4
19.76,81.19,3.13,0.75
5.15,58.66,1.41,0.13
3.28,121.37,2.46,0.92
2.62,32.34,0.95,0.9
0.78,17.57,4.07,0.49
10.47,39.39,2.34,-0
15.59,53.47,0.84,0.52
1.66,73.79,1.75,0.34
10.52,29.94,1.78,0.02
9.14,18.97,4.85,0.77
4.91,28.38,3.99,0.28
12.31,43.34,4.18,0.2
8.05,34.62,3.03,0.53
16.21,71.57,4.36,0.65
8.65,52.06,8.37,2.83
21.51,88.77,8.9,1.72
1,23.96,0.71,0.36
8.35,43.58,0.75,1.21
4.54,59.9,2.82,2.31
5.86,28.37,3.1,0.36
8.38,50.59,1.43,0.28
13.36,38.01,2.96,0.8
5.87,40.06,2.01,0.75
15.23,69.31,0.31,3.04
8.97,68.98,4.87,0.48
3.8,88.38,13.23,1.47
14.06,14.34,1.41,0.74
2,46.08,4.18,0.72
2.97,31.58,1.92,0.11
4.83,53.86,4.75,0.52
18.61,67.99,4.48,2.25
22.69,55.99,2.12,0.05
9.72,68.29,0.04,0.08
5.52,76.24,1.7,0.83
2.63,16.21,1.24,0.47
1.11,18.5,2.09,0.34
13.98,38.66,1.91,0.23
12.49,66.13,3.61,2.1
3.07,18.64,1.37,0.65
6.73,78.52,0.57,5.07
4.1,68.15,0.11,4.88
6.62,37.03,2.15,0.47
2.21,42.76,1.5,2.23
3.31,44.76,10.78,0.64
11.08,29.57,3.07,0.44
17.38,59.59,3.84,0.56
3.89,9.32,3.35,0.31
6.18,117.92,3.68,1.82
2.92,66.95,2.37,0.41
9.52,54.87,4.51,0.59
11.13,35.49,2.14,0.46
